,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
95,265,,w,1,スタン・ワウリンカ,泡,2,,9,201611WTF,×,0,0,Deuce,0,1
96,266,,c,1,スタン・ワウリンカ,泡,2,,9,201611WTF,×,0,15,Ad,0,1
97,267,,c,2,スタン・ワウリンカ,泡,2,,9,201611WTF,○,0,30,Deuce,1,0
98,268,,w,2,スタン・ワウリンカ,泡,2,,9,201611WTF,○,15,30,Ad,1,0
99,269,,c,1,スタン・ワウリンカ,泡,2,,9,201611WTF,○,30,30,Deuce,1,0
100,270,,w,2,スタン・ワウリンカ,泡,2,,9,201611WTF,○,40,30,Ad,1,0
101,0,,w,1,マリン・チリッチ,海,1,,1,201611WTF,○,0,0,Deuce,1,0
102,1,,w,2,マリン・チリッチ,海,1,,1,201611WTF,○,15,0,Ad,1,0
103,2,,c,1,マリン・チリッチ,海,1,,1,201611WTF,×,30,0,Deuce,0,1
104,3,,c,1,マリン・チリッチ,海,1,,1,201611WTF,×,30,15,Ad,0,1
105,4,,c,1,マリン・チリッチ,海,1,,1,201611WTF,×,30,30,Deuce,0,1
106,5,,c,1,マリン・チリッチ,海,1,,1,201611WTF,○,30,40,Ad,1,0
107,6,,w,1,マリン・チリッチ,海,1,,1,201611WTF,×,40,40,Deuce,0,1
108,7,,w,1,マリン・チリッチ,海,1,,1,201611WTF,○,40,Ad,Ad,1,0
109,9,,w,2,マリン・チリッチ,海,1,,1,201611WTF,○,Ad,40,Ad,1,0
110,10,,c,1,マリン・チリッチ,海,1,,1,201611WTF,×,,,Deuce,0,1
111,16,,b,1,マリン・チリッチ,圭,1,,2,201611WTF,×,0,0,Deuce,0,1
112,17,,w,2,マリン・チリッチ,圭,1,,2,201611WTF,○,0,15,Ad,1,0
113,18,,w,2,マリン・チリッチ,圭,1,,2,201611WTF,○,15,15,Deuce,1,0
114,19,,c,1,マリン・チリッチ,圭,1,,2,201611WTF,○,30,15,Ad,1,0
115,20,,w,1,マリン・チリッチ,圭,1,,2,201611WTF,×,40,15,Deuce,0,1
116,21,,w,1,マリン・チリッチ,圭,1,,2,201611WTF,○,40,30,Ad,1,0
117,36,Do,o,2,マリン・チリッチ,海,1,,3,201611WTF,○,0,0,Deuce,1,0
118,37,,w,2,マリン・チリッチ,海,1,,3,201611WTF,○,15,0,Ad,1,0
119,38,Aw,w,1,マリン・チリッチ,海,1,,3,201611WTF,×,30,0,Deuce,0,1
120,39,,c,1,マリン・チリッチ,海,1,,3,201611WTF,×,30,15,Ad,0,1
121,40,,b,1,マリン・チリッチ,海,1,,3,201611WTF,○,30,30,Deuce,1,0
122,41,,w,1,マリン・チリッチ,海,1,,3,201611WTF,○,40,30,Ad,1,0
123,62,,b,2,マリン・チリッチ,圭,1,,4,201611WTF,×,0,0,Deuce,0,1
124,63,,c,1,マリン・チリッチ,圭,1,,4,201611WTF,○,0,15,Ad,1,0
125,64,,b,1,マリン・チリッチ,圭,1,,4,201611WTF,○,15,15,Deuce,1,0
126,65,,w,1,マリン・チリッチ,圭,1,,4,201611WTF,○,30,15,Ad,1,0
127,66,,w,1,マリン・チリッチ,圭,1,,4,201611WTF,○,40,15,Deuce,1,0
128,92,,w,1,マリン・チリッチ,海,1,,5,201611WTF,○,0,0,Deuce,1,0
129,93,,c,2,マリン・チリッチ,海,1,,5,201611WTF,○,15,0,Ad,1,0
130,94,Aw,w,1,マリン・チリッチ,海,1,,5,201611WTF,×,30,0,Deuce,0,1
131,95,,c,1,マリン・チリッチ,海,1,,5,201611WTF,×,30,15,Ad,0,1
132,96,,w,1,マリン・チリッチ,海,1,,5,201611WTF,×,30,30,Deuce,0,1
133,97,,g,2,マリン・チリッチ,海,1,,5,201611WTF,×,30,40,Ad,0,1
134,129,,w,2,マリン・チリッチ,圭,1,,6,201611WTF,×,0,0,Deuce,0,1
135,130,,w,1,マリン・チリッチ,圭,1,,6,201611WTF,○,0,15,Ad,1,0
136,131,,c,1,マリン・チリッチ,圭,1,,6,201611WTF,×,15,15,Deuce,0,1
137,132,,w,1,マリン・チリッチ,圭,1,,6,201611WTF,○,15,30,Ad,1,0
138,133,,c,2,マリン・チリッチ,圭,1,,6,201611WTF,○,30,30,Deuce,1,0
139,134,,c,1,マリン・チリッチ,圭,1,,6,201611WTF,×,40,30,Ad,0,1
140,135,,b,1,マリン・チリッチ,圭,1,,6,201611WTF,○,40,40,Deuce,1,0
141,136,,b,2,マリン・チリッチ,圭,1,,6,201611WTF,○,Ad,40,Ad,1,0
142,176,Ac,c,1,マリン・チリッチ,海,1,,7,201611WTF,×,0,0,Deuce,0,1
143,177,,w,1,マリン・チリッチ,海,1,,7,201611WTF,×,0,15,Ad,0,1
144,178,,w,2,マリン・チリッチ,海,1,,7,201611WTF,○,0,30,Deuce,1,0
145,179,,w,2,マリン・チリッチ,海,1,,7,201611WTF,○,15,30,Ad,1,0
146,180,,c,1,マリン・チリッチ,海,1,,7,201611WTF,×,30,30,Deuce,0,1
147,181,,w,1,マリン・チリッチ,海,1,,7,201611WTF,×,30,40,Ad,0,1
148,227,,w,1,マリン・チリッチ,圭,1,,8,201611WTF,○,0,0,Deuce,1,0
149,228,,w,1,マリン・チリッチ,圭,1,,8,201611WTF,○,15,0,Ad,1,0
150,229,,b,2,マリン・チリッチ,圭,1,,8,201611WTF,○,30,0,Deuce,1,0
