,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
72,6,201807ウィンブルドン,ニック・キリオス,2.0,13,圭,○,1,c,189,,3,3,Deuce,1,0
73,7,201807ウィンブルドン,ニック・キリオス,2.0,13,霧,○,2,n,,Dn,4,3,Ad,1,0
74,8,201807ウィンブルドン,ニック・キリオス,2.0,13,霧,○,1,w,178,,5,3,Deuce,1,0
75,9,201807ウィンブルドン,ニック・キリオス,2.0,13,圭,○,2,c,164,,6,3,Ad,1,0
76,0,201807ウィンブルドン,ニック・キリオス,3.0,1,圭,○,,,,,0,0,Deuce,1,0
77,1,201807ウィンブルドン,ニック・キリオス,3.0,1,圭,○,,,,,15,0,Ad,1,0
78,2,201807ウィンブルドン,ニック・キリオス,3.0,1,圭,○,,,,,30,0,Deuce,1,0
79,3,201807ウィンブルドン,ニック・キリオス,3.0,1,圭,○,,,,,40,0,Ad,1,0
80,4,201807ウィンブルドン,ニック・キリオス,3.0,2,霧,×,2,c,177,,0,0,Deuce,0,1
81,5,201807ウィンブルドン,ニック・キリオス,3.0,2,霧,○,2,w,175,,0,15,Ad,1,0
82,6,201807ウィンブルドン,ニック・キリオス,3.0,2,霧,×,1,c,209,,15,15,Deuce,0,1
83,7,201807ウィンブルドン,ニック・キリオス,3.0,2,霧,×,1,c,191,,15,30,Ad,0,1
84,8,201807ウィンブルドン,ニック・キリオス,3.0,2,霧,×,1,c,210,,15,40,Deuce,0,1
85,14,201807ウィンブルドン,ニック・キリオス,3.0,3,圭,×,2,c,149,,0,0,Deuce,0,1
86,15,201807ウィンブルドン,ニック・キリオス,3.0,3,圭,○,2,w,141,,0,15,Ad,1,0
87,16,201807ウィンブルドン,ニック・キリオス,3.0,3,圭,×,2,b,152,,15,15,Deuce,0,1
88,17,201807ウィンブルドン,ニック・キリオス,3.0,3,圭,○,2,w,144,,15,30,Ad,1,0
89,18,201807ウィンブルドン,ニック・キリオス,3.0,3,圭,○,1,w,159,,30,30,Deuce,1,0
90,19,201807ウィンブルドン,ニック・キリオス,3.0,3,圭,○,1,c,191,Ac,40,30,Ad,1,0
91,31,201807ウィンブルドン,ニック・キリオス,3.0,4,霧,○,2,b,189,,0,0,Deuce,1,0
92,32,201807ウィンブルドン,ニック・キリオス,3.0,4,霧,×,1,w,214,,15,0,Ad,0,1
93,33,201807ウィンブルドン,ニック・キリオス,3.0,4,霧,×,1,c,210,Ac,15,15,Deuce,0,1
94,34,201807ウィンブルドン,ニック・キリオス,3.0,4,霧,×,1,w,205,,15,30,Ad,0,1
95,35,201807ウィンブルドン,ニック・キリオス,3.0,4,霧,×,1,w,186,Aw,15,40,Deuce,0,1
96,52,201807ウィンブルドン,ニック・キリオス,3.0,5,圭,×,1,w,167,,0,0,Deuce,0,1
97,53,201807ウィンブルドン,ニック・キリオス,3.0,5,圭,○,2,w,138,,0,15,Ad,1,0
98,54,201807ウィンブルドン,ニック・キリオス,3.0,5,圭,×,2,b,149,,15,15,Deuce,0,1
99,55,201807ウィンブルドン,ニック・キリオス,3.0,5,圭,○,1,w,178,,15,30,Ad,1,0
100,56,201807ウィンブルドン,ニック・キリオス,3.0,5,圭,○,1,c,191,,30,30,Deuce,1,0
101,57,201807ウィンブルドン,ニック・キリオス,3.0,5,圭,×,1,w,186,,40,30,Ad,0,1
102,58,201807ウィンブルドン,ニック・キリオス,3.0,5,圭,○,1,w,160,,40,40,Deuce,1,0
103,59,201807ウィンブルドン,ニック・キリオス,3.0,5,圭,×,2,b,149,,Ad,40,Ad,0,1
104,88,201807ウィンブルドン,ニック・キリオス,3.0,6,霧,×,1,c,210,,0,0,Deuce,0,1
