,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
23,72,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,5,炉,×,1,w,199,,15,0,Ad,0,1
24,73,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,5,炉,×,2,c,144,,15,15,Deuce,0,1
25,74,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,5,炉,×,1,c,183,,15,30,Ad,0,1
26,75,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,5,炉,×,1,c,194,,15,40,Deuce,0,1
27,103,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,6,圭,○,1,w,164,,0,0,Deuce,1,0
28,104,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,6,圭,×,2,w,144,,15,0,Ad,0,1
29,105,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,6,圭,○,2,c,131,,15,15,Deuce,1,0
30,106,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,6,圭,○,2,c,156,,30,15,Ad,1,0
31,107,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,6,圭,○,1,c,188,,40,15,Deuce,1,0
32,140,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,7,炉,×,2,w,164,,0,0,Deuce,0,1
33,141,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,7,炉,×,1,w,194,,0,15,Ad,0,1
34,142,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,7,炉,○,2,o,,Do,0,30,Deuce,1,0
35,143,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,7,炉,×,1,w,196,,15,30,Ad,0,1
36,144,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,7,炉,×,1,w,177,,15,40,Deuce,0,1
37,182,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,8,圭,○,1,c,177,,0,0,Deuce,1,0
38,183,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,8,圭,○,2,w,154,,15,0,Ad,1,0
39,184,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,8,圭,×,1,c,183,,30,0,Deuce,0,1
40,185,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,8,圭,○,2,w,140,,30,15,Ad,1,0
41,186,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,8,圭,○,2,c,146,,40,15,Deuce,1,0
42,229,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,9,炉,×,1,c,197,,0,0,Deuce,0,1
43,230,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,9,炉,×,2,c,162,,0,15,Ad,0,1
44,231,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,9,炉,×,2,b,156,,0,30,Deuce,0,1
45,232,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,9,炉,×,1,w,197,,0,40,Ad,0,1
46,279,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,10,圭,×,2,c,144,,0,0,Deuce,0,1
47,280,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,10,圭,○,2,w,152,,0,15,Ad,1,0
48,281,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,10,圭,○,2,c,146,,15,15,Deuce,1,0
49,282,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,10,圭,×,1,w,183,,30,15,Ad,0,1
50,283,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,10,圭,○,1,w,162,,30,30,Deuce,1,0
51,284,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,10,圭,○,2,b,140,,40,30,Ad,1,0
52,337,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,11,炉,×,1,w,175,Aw,0,0,Deuce,0,1
53,338,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,11,炉,×,2,w,135,,0,15,Ad,0,1
54,339,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,11,炉,○,2,s,,Ds,0,30,Deuce,1,0
55,340,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,11,炉,○,1,w,197,,15,30,Ad,1,0
56,341,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,11,炉,×,1,w,172,,30,30,Deuce,0,1
57,342,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,11,炉,×,1,c,189,,30,40,Ad,0,1
58,401,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,12,圭,×,2,c,156,,0,0,Deuce,0,1
59,402,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,12,圭,×,1,w,188,,0,15,Ad,0,1
60,403,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,12,圭,○,1,c,186,,0,30,Deuce,1,0
61,404,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,12,圭,○,2,w,144,,15,30,Ad,1,0
62,405,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,12,圭,○,1,b,185,,30,30,Deuce,1,0
63,406,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,12,圭,○,1,w,183,,40,30,Ad,1,0
64,0,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,13,炉,×,1,w,180,,0,0,Deuce,0,1
65,1,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,13,圭,○,2,w,,,0,1,Ad,1,0
66,2,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,13,圭,○,2,b,,,1,1,Deuce,1,0
67,3,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,13,炉,○,1,c,183,,2,1,Ad,1,0
68,4,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,13,炉,○,1,w,175,,3,1,Deuce,1,0
69,5,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,13,圭,○,1,w,186,,4,1,Ad,1,0
