,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
76,59,201904バルセロナ,ダニール・メドベージェフ,2.0,4,芽,×,1,w,,,15,15,Deuce,0,1
77,60,201904バルセロナ,ダニール・メドベージェフ,2.0,4,芽,×,2,c,137,,15,30,Ad,0,1
78,61,201904バルセロナ,ダニール・メドベージェフ,2.0,4,芽,○,1,w,187,Aw,15,40,Deuce,1,0
79,62,201904バルセロナ,ダニール・メドベージェフ,2.0,4,芽,○,1,w,,,30,40,Ad,1,0
80,63,201904バルセロナ,ダニール・メドベージェフ,2.0,4,芽,×,2,c,153,,40,40,Deuce,0,1
81,64,201904バルセロナ,ダニール・メドベージェフ,2.0,4,芽,○,1,c,,,40,Ad,Ad,1,0
82,95,201904バルセロナ,ダニール・メドベージェフ,2.0,5,圭,×,1,w,159,,0,0,Deuce,0,1
83,96,201904バルセロナ,ダニール・メドベージェフ,2.0,5,圭,○,1,c,173,,0,15,Ad,1,0
84,97,201904バルセロナ,ダニール・メドベージェフ,2.0,5,圭,○,1,c,167,,15,15,Deuce,1,0
85,98,201904バルセロナ,ダニール・メドベージェフ,2.0,5,圭,○,1,w,,,30,15,Ad,1,0
86,99,201904バルセロナ,ダニール・メドベージェフ,2.0,5,圭,×,2,b,136,,40,15,Deuce,0,1
87,100,201904バルセロナ,ダニール・メドベージェフ,2.0,5,圭,○,1,c,,,40,30,Ad,1,0
88,135,201904バルセロナ,ダニール・メドベージェフ,2.0,6,芽,×,1,w,161,,0,0,Deuce,0,1
89,136,201904バルセロナ,ダニール・メドベージェフ,2.0,6,芽,×,1,c,184,,0,15,Ad,0,1
90,137,201904バルセロナ,ダニール・メドベージェフ,2.0,6,芽,×,1,w,,,0,30,Deuce,0,1
91,138,201904バルセロナ,ダニール・メドベージェフ,2.0,6,芽,×,2,w,162,,0,40,Ad,0,1
92,177,201904バルセロナ,ダニール・メドベージェフ,2.0,7,圭,×,1,b,171,,0,0,Deuce,0,1
93,178,201904バルセロナ,ダニール・メドベージェフ,2.0,7,圭,○,1,w,,,0,15,Ad,1,0
94,179,201904バルセロナ,ダニール・メドベージェフ,2.0,7,圭,×,2,b,137,,15,15,Deuce,0,1
95,180,201904バルセロナ,ダニール・メドベージェフ,2.0,7,圭,○,1,c,,,15,30,Ad,1,0
